Title,Rating,Price,Pages,Genre,Reviews,Review_Density,Price_Bucket,Popularity_Score,Success_Category
The philosophy of ancient India,4.2,510,96,Poetry,1408,14.667,Mid-range,5.27,Medium
Rajasthan,3.1,981,96,Classic,2217,23.094,Premium,4.71,Low
Adventure Comics and Youth Cultures in India,3.2,1240,226,Poetry,1314,5.814,Premium,4.59,Low
Cosmos and I,4.1,985,589,Self-Help,1624,2.757,Premium,5.25,Medium
India 2001,3.7,523,1,Science,1159,1159.0,Mid-range,4.87,Medium
Early History of Vaishnavism in South India,4.5,1335,128,Classic,723,5.648,Premium,5.23,Medium
Animals and Birds of India. Coloring Book with Interesting Facts,4.3,254,886,Politics,535,0.604,Budget,4.99,Medium
Catalogue of Books Relating to the Military History of India,4.7,1386,465,Philosophy,1957,4.209,Premium,5.71,High
A text book of medical jurisprudence for India,4.4,250,558,Classic,1853,3.321,Budget,5.49,Medium
Heritage of India - A Picture Book on World Heritage Sites in India,3.9,311,466,Classic,1284,2.755,Budget,5.04,Medium
Adult education in India,4.3,1315,192,History,49,0.255,Premium,4.16,Low
Coloring Book for Kids,3.6,980,35,Politics,345,9.857,Premium,4.39,Low
Paediatric Emergency Medication Book,3.6,854,692,Politics,35,0.051,Mid-range,3.59,Low
Yaraana,4.6,1221,211,Biography,130,0.616,Premium,4.7,Low
Social Problems and Welfare in India,3.9,640,387,Poetry,126,0.326,Mid-range,4.23,Low
Feudal Social Formation in Early India,4.6,800,427,Science,2446,5.728,Mid-range,5.72,High
Constitutional Law of India W/Supplement,4.6,271,704,Politics,2229,3.166,Budget,5.69,High
How India Manages Its National Security,4.7,470,440,Fiction,302,0.686,Mid-range,5.05,Medium
The Penguin India 2005 Desk Companion,4.8,1278,192,Politics,288,1.5,Premium,5.1,Medium
Dhurrie,3.9,1263,271,Fiction,1240,4.576,Premium,5.03,Medium
The English East India Company at the Height of Mughal Expansion,3.6,1012,209,History,1286,6.153,Premium,4.85,Medium
India Handbook (Handbooks of the World),4.2,901,160,Philosophy,617,3.856,Premium,4.98,Medium
Intercourse between India and the western world from the earlist times to the fall of Rome,3.7,355,196,Science,818,4.173,Budget,4.75,Low
"Hand-book of common water and marsh plants of India and Burma, 1936",4.2,1089,216,Biography,1302,6.028,Premium,5.24,Medium
Hindu thought,4.4,775,109,Religion,1192,10.936,Mid-range,5.34,Medium
Samuel Hebich of India,4.4,963,351,Classic,1910,5.442,Premium,5.5,Medium
An Autobiography,3.7,515,640,Science,2457,3.839,Mid-range,5.14,Medium
Panchtantra Ki Lokpriya Kahaniyan,3.3,428,778,Poetry,2031,2.611,Mid-range,4.81,Medium
The horse on the hill,3.9,1017,192,History,2483,12.932,Premium,5.27,Medium
Book list,3.3,1389,24,Classic,445,18.542,Premium,4.28,Low
Textiles from India,4.8,1262,430,Fiction,1745,4.058,Premium,5.73,High
Corruption in India,3.7,1061,312,Religion,2153,6.901,Premium,5.09,Medium
India and Egypt,3.3,923,135,Science,1259,9.326,Premium,4.64,Low
"Hello, India!",3.1,348,36,Poetry,2490,69.167,Budget,4.75,Low
India's summering revolution,4.3,844,327,Fiction,137,0.419,Mid-range,4.52,Low
Physical Geography of India (India--the land and people),4.3,407,262,Poetry,2482,9.473,Mid-range,5.53,High
Home loan schemes in India,3.7,672,111,Poetry,618,5.568,Mid-range,4.65,Low
Sexual Life in Ancient India,3.1,1342,576,Poetry,2107,3.658,Premium,4.69,Low
Hand book for members,3.8,897,206,Science,1204,5.845,Mid-range,4.95,Medium
INDIAN INSURANCE YEAR BOOK,3.6,1100,81,Religion,2487,30.704,Premium,5.08,Medium
Guide-book,4.4,860,279,Fiction,683,2.448,Mid-range,5.14,Medium
Forts & palaces of India,4.2,392,256,Biography,2162,8.445,Budget,5.42,Medium
India's simmering revolution,3.7,509,327,Fiction,1601,4.896,Mid-range,4.99,Medium
Secularism in India,3.4,297,339,Politics,669,1.973,Budget,4.49,Low
Mother Goose Goes to India,5.0,179,32,Classic,1509,47.156,Budget,5.81,High
India Bangladesh relations,3.9,236,252,Religion,307,1.218,Budget,4.54,Low
The sacred books of the East described and examined,4.4,312,721,Religion,1719,2.384,Budget,5.47,Medium
Write India stories,3.3,718,310,Fiction,431,1.39,Mid-range,4.27,Low
Tree worship in ancient India,4.0,1059,103,Science,2467,23.951,Premium,5.33,Medium
Flavour of India (Food & Festivals),3.1,1330,32,Biography,1061,33.156,Premium,4.45,Low
Divine Akbar and Holy India,4.0,1256,390,Religion,155,0.397,Premium,4.37,Low
Field Hockey,4.9,265,299,History,2045,6.839,Budget,5.85,High
On the Indian hills,3.8,529,350,Biography,778,2.223,Mid-range,4.8,Low
India Army Photo Book,3.1,1303,645,Classic,1291,2.002,Premium,4.52,Low
The Indian company law,3.1,220,1195,History,1044,0.874,Budget,4.45,Low
INDIA's GREAT SUFI POET AMIR KHUSRAU Selected Poems,3.8,1297,815,Politics,400,0.491,Premium,4.57,Low
Catalogue of the Coins of Ancient India,3.3,430,402,Fiction,1548,3.851,Mid-range,4.72,Low
Studies in Early Buddhist Architecture of India,3.0,1191,120,Fiction,825,6.875,Premium,4.3,Low
Geological Evolution of Peninsular India,4.5,1261,160,Religion,495,3.094,Premium,5.1,Medium
FOLKTALES OF INDIA,3.9,1431,345,Science,973,2.82,Premium,4.94,Medium
Tribes of North-East India,3.6,1453,275,Science,868,3.156,Premium,4.71,Low
Management consulting in India,4.8,1361,304,Classic,916,3.013,Premium,5.51,High
"Wanderers, Kings, Merchants",3.2,1199,352,Self-Help,51,0.145,Premium,3.46,Low
On the original inhabitants of Bharatavarṣa or India,4.9,1274,711,Politics,1947,2.738,Premium,5.84,High
The Jewish Printed Book in India,3.6,719,46,Self-Help,2185,47.5,Mid-range,5.03,Medium
Book of Bhrigu,4.8,1439,100,Poetry,210,2.1,Premium,4.99,Medium
Brahmanism And Hinduism,4.2,136,636,Biography,1790,2.814,Budget,5.35,Medium
The book of ayurveda,4.7,1063,191,Fiction,1793,9.387,Premium,5.68,High
"Annals and antiquities of Rajasthan, or, the Central and Western Rajpoot states of India",5.0,944,464,History,2141,4.614,Premium,5.93,High
National union catalogue of incunabula and early printed books in India,3.6,1249,482,Classic,642,1.332,Premium,4.6,Low
India Coloring Book : For Adult/kids,4.9,896,717,Self-Help,1146,1.598,Mid-range,5.65,High
India Coloring Book for Adults,3.8,385,209,Religion,605,2.895,Budget,4.71,Low
The Ancient Books Of India,3.8,1363,16,Philosophy,2487,155.438,Premium,5.21,Medium
Kerala Kitchen,3.7,986,220,Science,492,2.236,Premium,4.58,Low
Fateful Triangle,4.1,319,380,History,1807,4.755,Budget,5.29,Medium
Bombay and western India,3.3,1130,132,Fiction,133,1.008,Premium,3.86,Low
Managing Conflicts in India,4.1,315,144,Classic,1422,9.875,Budget,5.21,Medium
"India, Nepal & Sri Lanka",4.1,780,656,History,1356,2.067,Mid-range,5.19,Medium
Lovesong for India,4.5,392,288,Fiction,2397,8.323,Budget,5.65,High
Power and contestation,4.7,142,240,Politics,358,1.492,Budget,5.11,Medium
The indigenous drugs of India,3.9,1430,387,Biography,2305,5.956,Premium,5.25,Medium
Nation Building in India,5.0,1216,317,Poetry,1,0.003,Premium,3.49,Low
Original letters from India,3.6,1392,288,Religion,1216,4.222,Premium,4.83,Medium
Knit India Through Literature,5.0,792,391,Politics,1,0.003,Mid-range,3.49,Low
Book of financial powers,3.5,1338,285,Religion,98,0.344,Premium,3.88,Low
Dance of the peacock,3.4,1058,335,Poetry,483,1.442,Premium,4.37,Low
My passage from India,3.1,213,149,Philosophy,1941,13.027,Budget,4.67,Low
The book of the marvels of India,3.7,1308,163,Politics,2007,12.313,Premium,5.07,Medium
The Mughal Empire,3.5,1020,763,History,581,0.761,Premium,4.5,Low
Gramdan movement,4.9,1248,149,Politics,304,2.04,Premium,5.19,Medium
"[Press and Registration of Books Act, 1927]",4.1,1228,39,Classic,242,6.205,Premium,4.59,Low
Nehru and planning in India,3.7,336,270,Religion,1309,4.848,Budget,4.92,Medium
A Fine Balance,4.2,752,719,Fiction,16,0.022,Mid-range,3.72,Low
Guide book for investors in government of India securities,4.2,257,87,Fiction,1710,19.655,Budget,5.34,Medium
Note book of general information of the Cocanada Circle,3.3,1007,164,Poetry,2440,14.878,Premium,4.88,Medium
Note book of general information of the Amalapuram Circle,3.9,1060,165,Philosophy,1276,7.733,Premium,5.04,Medium
Catalogue of printed books in the Asutosh collection,4.3,1397,809,Philosophy,847,1.047,Premium,5.16,Medium
The criminal manual containing minor acts,4.0,952,751,Science,2303,3.067,Premium,5.31,Medium
"Hand book for reference regarding departmental tests and graduate non-graduate ratio, corrected upto 15-11-1972",3.8,1240,450,Biography,847,1.882,Premium,4.83,Medium
Field Hockey Plays,5.0,985,789,Classic,1980,2.51,Premium,5.91,High
Field Hockey Playbook,4.8,159,495,Classic,1985,4.01,Budget,5.78,High
A hand-book of the Chamber of Princes (Narendra Mandal),4.2,500,37,History,2447,66.135,Mid-range,5.46,Medium
Revolution in India,4.1,927,137,Classic,633,4.62,Premium,4.92,Medium
Unpublished Arabic & Persian books on Greco-Arab medicine written in India,4.2,1303,33,Politics,582,17.636,Premium,4.96,Medium
Travancore,5.0,1355,294,History,2,0.007,Premium,3.63,Low
The Congress in Tamilnad,3.4,575,252,Philosophy,2487,9.869,Mid-range,4.95,Medium
The national culture of India,3.8,754,237,Fiction,2119,8.941,Mid-range,5.15,Medium
Vanishing,3.1,944,326,Self-Help,1764,5.411,Premium,4.63,Low
Selling to India's consumer market,4.0,1023,289,Biography,1825,6.315,Premium,5.23,Medium
Coin-collecting in northern India,4.1,1368,135,Biography,1988,14.726,Premium,5.32,Medium
The erotic sculpture of India,3.5,737,95,Fiction,2272,23.916,Mid-range,4.98,Medium
Socio-economic history of Mughal India,4.9,748,165,Fiction,750,4.545,Mid-range,5.5,Medium
Literature of resistance,4.8,312,203,Fiction,276,1.36,Budget,5.09,Medium
The king's warrior,4.4,1089,326,Fiction,204,0.626,Premium,4.72,Low
"Assam in the days of the Company, 1826-1858",3.0,903,342,Self-Help,1,0.003,Premium,2.19,Low
Kipling Sahib,4.1,227,426,Science,2212,5.192,Budget,5.36,Medium
The culture and civilisation of ancient India in historical outline,4.7,1051,243,Religion,2051,8.44,Premium,5.72,High
High,3.3,316,518,Biography,1733,3.346,Budget,4.76,Low
Minerals of India,4.6,810,263,Science,265,1.008,Mid-range,4.94,Medium
Towards understanding India,3.2,119,120,Classic,2254,18.783,Budget,4.78,Low
"The Princes of India in the Endgame of Empire, 1917-1947",4.6,1183,309,Politics,885,2.864,Premium,5.37,Medium
The agrarian prospect in India,3.6,774,89,Fiction,2107,23.674,Mid-range,5.02,Medium
Hockey in India,4.8,813,62,History,620,10.0,Mid-range,5.37,Medium
India since Cripps,4.9,838,93,Science,981,10.548,Mid-range,5.6,High
India 1993-1994,3.3,1252,335,Science,1461,4.361,Premium,4.7,Low
Encyclopaedia of India,3.9,656,132,Biography,2076,15.727,Mid-range,5.21,Medium
India's political economy,5.0,296,122,Philosophy,2417,19.811,Budget,5.98,High
Jan in India,4.0,1035,190,Fiction,2151,11.321,Premium,5.29,Medium
Hindustan hamara,4.7,777,152,History,552,3.632,Mid-range,5.27,Medium
Handbook of marine prawns of India,4.2,603,415,Religion,1008,2.429,Mid-range,5.15,Medium
101 jewels from India,3.8,1370,267,Classic,2062,7.723,Premium,5.14,Medium
Salt Affected Soils of India,3.6,837,265,Self-Help,377,1.423,Mid-range,4.42,Low
India I Love You More!,3.4,891,282,Poetry,397,1.408,Mid-range,4.31,Low
Palldio's Piano Little India,4.5,1383,72,Philosophy,2239,31.097,Premium,5.62,High
The reptile fauna of India,3.8,1470,331,Biography,1068,3.227,Premium,4.91,Medium
Western India,4.0,296,288,Philosophy,412,1.431,Budget,4.71,Low
India chic,4.0,1230,240,History,1146,4.775,Premium,5.07,Medium
Taxation hand book,4.2,880,263,Politics,721,2.741,Mid-range,5.03,Medium
Supreme Court on narcotics and drugs,4.7,843,337,Religion,1453,4.312,Mid-range,5.6,High
Feminism in India (Issues in Contemporoary Indian Feminism),5.0,1283,416,Classic,803,1.93,Premium,5.59,High
Good Night India,3.8,521,20,Philosophy,1848,92.4,Mid-range,5.1,Medium
Nur Jahan of India,4.7,1330,24,Fiction,2399,99.958,Premium,5.78,High
Mao's Little Red Book,4.5,1436,304,Religion,1002,3.296,Premium,5.34,Medium
Missionaries in India,4.1,531,202,Poetry,1062,5.257,Mid-range,5.1,Medium
India-Rural Development,4.9,1025,194,Classic,1191,6.139,Premium,5.66,High
Infrastructure in India,3.4,334,220,Poetry,2350,10.682,Budget,4.93,Medium
Bleeding India (HINDI),3.2,426,480,Science,881,1.835,Mid-range,4.45,Low
Forts of India,4.7,1033,846,Philosophy,1896,2.241,Premium,5.7,High
Folkore of India,3.9,578,428,Poetry,1855,4.334,Mid-range,5.17,Medium
Sociology of India,4.7,527,373,Religion,1718,4.606,Mid-range,5.66,High
Tourism in India,4.8,765,706,Politics,132,0.187,Mid-range,4.83,Medium
Wildlife of India,3.1,1223,96,Self-Help,1705,17.76,Premium,4.62,Low
Orchids of India,4.8,1361,104,Fiction,1642,15.788,Premium,5.71,High
India's language crisis,3.9,1230,122,Politics,1442,11.82,Premium,5.08,Medium
East India Company,4.0,957,319,Biography,881,2.762,Premium,4.97,Medium
Travellers to India,4.3,1487,359,Politics,1952,5.437,Premium,5.45,Medium
Midnight's Machines,4.0,741,689,Poetry,1,0.001,Mid-range,2.84,Low
Taste of India (Food Around the World),4.9,910,48,Biography,527,10.979,Premium,5.38,Medium
Trees of India,3.0,1166,142,Politics,1687,11.88,Premium,4.55,Low
Feminism in India,4.0,674,359,Fiction,485,1.351,Mid-range,4.77,Low
Siva & Her Sisters,4.4,1196,283,Religion,1141,4.032,Premium,5.32,Medium
The painted towns of Shekhawati,5.0,1118,230,Self-Help,1,0.004,Premium,3.49,Low
India Today (1940),4.4,1427,548,Politics,309,0.564,Premium,4.87,Medium
Another History of the Children's Picture Book,4.4,1128,176,Poetry,1782,10.125,Premium,5.48,Medium
Women's Studies in India,3.3,902,238,Philosophy,2229,9.366,Premium,4.84,Medium
Classical Accounts of India,3.6,1472,277,Classic,1886,6.809,Premium,4.98,Medium
Made in India for Make in India - Indian Production System,3.7,499,193,History,736,3.813,Mid-range,4.72,Low
Government of India,4.6,694,590,Philosophy,1420,2.407,Mid-range,5.53,High
India's National Security,3.6,1230,180,Science,586,3.256,Premium,4.57,Low
State pawnshops in Netherlands India,3.4,216,12,Poetry,1493,124.417,Budget,4.77,Low
"India economic information year book, 1990-91",4.9,482,328,Classic,1013,3.088,Mid-range,5.61,High
Directory of foreign book trade in India,3.0,958,124,Religion,1160,9.355,Premium,4.42,Low
Book to Read on Trains in India,5.0,181,228,Science,2007,8.803,Budget,5.91,High
TIMES GROUP BOOKS Celebrated Chefs Of India,4.4,931,831,History,2013,2.422,Premium,5.52,High
"The wisdom of India, (A Jaico book)",4.7,972,223,Poetry,1829,8.202,Premium,5.68,High
The spiritual heritage of India (Anchor books),3.6,752,688,Philosophy,1224,1.779,Mid-range,4.83,Medium
My Village in India (My Village books),3.0,833,280,Politics,978,3.493,Mid-range,4.36,Low
My India Coloring Book (Boy) (Hindi) (Hardcover),4.5,169,203,Fiction,1736,8.552,Budget,5.54,High
My India Coloring Book (Boy) (Hindi) (Paperback),4.7,486,266,Fiction,1032,3.88,Mid-range,5.48,Medium
River of Gods (India 2047 Book 1),4.5,623,533,Philosophy,1838,3.448,Mid-range,5.56,High
The Penguin Book Of Gardeving In India,3.3,396,264,Philosophy,1330,5.038,Budget,4.66,Low
David Gentleman's India (A John Curtis Book),4.5,716,192,History,494,2.573,Mid-range,5.1,Medium
International Standard Book Numbering system in India,4.5,818,189,Poetry,637,3.37,Mid-range,5.19,Medium
India Economic Information Year Book 1992-93,4.3,1188,134,Poetry,660,4.925,Premium,5.07,Medium
Directory of the book trade in India,4.5,277,405,Biography,2329,5.751,Budget,5.64,High
Discover India ; Book 2 for Class 7,4.7,1131,543,Philosophy,181,0.333,Premium,4.88,Medium
The permanent history of Bharata varsha (India),4.2,1282,428,Religion,2023,4.727,Premium,5.39,Medium
India in the world order,3.2,110,302,Politics,2002,6.629,Budget,4.74,Low
South-East Asia and India,4.0,884,195,Politics,2248,11.528,Mid-range,5.3,Medium
India's foreign policy towards South Asia,3.2,510,310,Religion,744,2.4,Mid-range,4.39,Low
"60 years of book publishing in India, 1947-2007",3.8,991,439,Classic,488,1.112,Premium,4.64,Low
List of books issued by political parties of India,3.8,706,40,Classic,1829,45.725,Mid-range,5.1,Medium
50 years of book publishing in India since independence,3.1,254,323,Science,40,0.124,Budget,3.31,Low
European printed books section (of the India Office Library),3.7,1329,850,History,279,0.328,Premium,4.38,Low
2007 benchmarking and data book of water utilities in India,3.2,1238,87,Philosophy,1159,13.322,Premium,4.55,Low
S. Krishnamurti's a hand book of criminal law,4.6,698,1015,Religion,1456,1.434,Mid-range,5.54,High
Standard guide to coin sets of India,4.9,923,184,Science,556,3.022,Premium,5.4,Medium
Author catalogue of printed books in Bengali language,3.1,449,739,Poetry,971,1.314,Mid-range,4.42,Low
The oriental interpreter and treasury of East India knowledge,4.9,1221,319,Classic,1999,6.266,Premium,5.85,High
Book of Awesome Women,4.0,1042,291,Self-Help,1860,6.392,Premium,5.24,Medium
Little Women,4.0,118,424,Fiction,121,0.285,Budget,4.28,Low
Picture Book,3.6,412,843,Biography,1876,2.225,Mid-range,4.98,Medium
Book of Ram,3.2,1026,143,Religion,870,6.084,Premium,4.45,Low
Childrens Kannada Book,4.0,627,84,Religion,1991,23.702,Mid-range,5.26,Medium
Incredible India (Read-It! Chapter Books) (Read-It! Chapter Books),4.6,656,80,Science,1300,16.25,Mid-range,5.5,Medium
La prohibición de las Indias,4.4,544,482,Science,1211,2.512,Mid-range,5.35,Medium
British opium policy in China and India,3.1,330,399,Religion,552,1.383,Budget,4.23,Low
Manifestation Journal,3.1,724,100,Politics,2082,20.82,Mid-range,4.69,Low
Hand book on methods of collection of agricultural statistics in India,3.8,1110,180,Fiction,2117,11.761,Premium,5.15,Medium
"Hand book of orders on employment assistance to relatives/dependents of government servants dying in harness, up to 28-2-1979",3.6,988,37,Poetry,323,8.73,Premium,4.36,Low
The religions and hidden cults of India,3.5,458,244,Religion,435,1.783,Mid-range,4.4,Low
India and the United States,3.6,143,515,Classic,324,0.629,Budget,4.36,Low
John Company at work,4.6,1488,413,Philosophy,2263,5.479,Premium,5.69,High
The Healthy Cuisine of India,4.9,976,289,Religion,832,2.879,Premium,5.54,High
Rum pum pum,5.0,1234,32,Fiction,1,0.031,Premium,3.49,Low
Dancing queen,4.0,322,113,History,1,0.009,Budget,2.84,Low
Village Life in India,3.8,1001,168,Fiction,2455,14.613,Premium,5.2,Medium
Carpets and floor coverings of India,4.8,1388,425,Biography,2004,4.715,Premium,5.78,High
These Seats Are Reserved,3.6,370,590,Biography,732,1.241,Budget,4.65,Low
Graphic Narratives and the Mythological Imagination in India,4.0,311,114,History,1701,14.921,Budget,5.2,Medium
Early Records of British India,3.5,1437,409,History,1353,3.308,Premium,4.8,Low
Regional Development Planning in India,4.0,346,398,Fiction,1,0.003,Budget,2.84,Low
A matter of belief,4.3,1047,298,Science,194,0.651,Premium,4.64,Low
Fifteen Judgments,5.0,920,226,Biography,1109,4.907,Premium,5.7,High
A History of American Baptist Mission in North-East India,4.2,1473,227,Science,1436,6.326,Premium,5.27,Medium
The books of Rachel,3.7,171,440,Fiction,2007,4.561,Budget,5.07,Medium
En Caso de Que,4.3,1419,790,Politics,2346,2.97,Premium,5.51,High
The Religion of the Veda,3.2,1336,320,Fiction,777,2.428,Premium,4.41,Low
Asceticism and healing in ancient India,4.8,394,200,Religion,2430,12.15,Budget,5.85,High
Book Uncle and Me,3.0,270,152,Fiction,1,0.007,Budget,2.19,Low
Coffee: guide book,4.0,345,119,Philosophy,1792,15.059,Budget,5.22,Medium
Diary and Consultation Book ... [serial]; 1725,3.9,1264,899,Classic,190,0.211,Premium,4.37,Low
Diary and Consultation Book ... [serial]; 1743,4.2,716,568,Politics,1094,1.926,Mid-range,5.18,Medium
Diary and Consultation Book ... [serial]; 1721,4.2,339,719,Science,1371,1.907,Budget,5.26,Medium
Diary and Consultation Book ... [serial]; 1710,3.1,410,630,Fiction,684,1.086,Mid-range,4.3,Low
Diary and Consultation Book ... [serial]; 1739,4.4,497,417,Politics,611,1.465,Mid-range,5.11,Medium
Diary and Consultation Book ... [serial]; 1714,3.5,1022,720,Science,1188,1.65,Premium,4.75,Low
Diary and Consultation Book ... [serial]; 1736,4.4,891,858,Philosophy,2341,2.728,Mid-range,5.58,High
Diary and Consultation Book ... [serial]; 1733,4.6,121,552,Philosophy,2430,4.402,Budget,5.72,High
Diary and Consultation Book ... [serial]; 1717,4.6,1201,230,History,1368,5.948,Premium,5.52,High
Diary and Consultation Book ... [serial]; 1737,4.1,912,494,Poetry,867,1.755,Premium,5.03,Medium
Diary and Consultation Book ... [serial]; 1732,4.0,1003,377,Biography,2365,6.273,Premium,5.32,Medium
Diary and Consultation Book ... [serial]; 1706,3.3,931,690,Philosophy,513,0.743,Premium,4.33,Low
Diary and Consultation Book ... [serial]; 1727,4.6,1476,342,Self-Help,565,1.652,Premium,5.21,Medium
Diary and Consultation Book ... [serial]; 1728,3.5,1494,843,Philosophy,2371,2.813,Premium,5.0,Medium
Diary and Consultation Book ... [serial]; 1708,4.0,1144,223,Politics,1510,6.771,Premium,5.16,Medium
Diary and Consultation Book ... [serial]; 1707,3.6,606,425,Classic,923,2.172,Mid-range,4.73,Low
Diary and Consultation Book ... [serial]; 1697,3.3,259,703,Fiction,2306,3.28,Budget,4.86,Medium
Diary and Consultation Book ... [serial]; 1734,4.3,843,651,Politics,1560,2.396,Mid-range,5.37,Medium
Diary and Consultation Book ... [serial]; 1722,3.1,1484,81,Poetry,903,11.148,Premium,4.4,Low
Diary and Consultation Book ... [serial]; 1729,4.5,912,383,Philosophy,2477,6.467,Premium,5.66,High
The Indian contract act (Act IX of 1872),3.6,1420,344,Religion,2385,6.933,Premium,5.06,Medium
India: a general survey,3.0,1475,179,Fiction,924,5.162,Premium,4.34,Low
Temples of north India,4.0,279,85,Religion,639,7.518,Budget,4.86,Medium
Ordinal,3.1,312,19,Politics,972,51.158,Budget,4.42,Low
Handbook of taxation laws of India,3.6,629,333,Self-Help,339,1.018,Mid-range,4.38,Low
India and It's States,4.4,126,229,Classic,895,3.908,Budget,5.24,Medium
GAIL-Infraline natural gas in India,3.1,1038,305,Biography,2396,7.856,Premium,4.74,Low
Politics and the people,4.7,969,535,Politics,1920,3.589,Premium,5.7,High
File M for murder,3.0,537,263,Fiction,772,2.935,Mid-range,4.28,Low
"The Code of Criminal Procedure, Being ACT V of 1898",3.5,384,722,Poetry,1399,1.938,Budget,4.81,Medium
Wild India,4.5,760,208,Religion,1057,5.082,Mid-range,5.36,Medium
Readings in English Language Teaching in India,3.6,748,389,Self-Help,90,0.231,Mid-range,3.92,Low
"Technology in Medieval India, C. 650-1750",3.2,288,152,Biography,1855,12.204,Budget,4.71,Low
Vajpayee,3.7,1322,731,History,1566,2.142,Premium,4.98,Medium
India from Midnight to the Millennium & Beyond,3.5,1225,532,Politics,125,0.235,Premium,3.97,Low
The Complete Asian Cookbook India and Pakistan,4.7,578,116,Science,789,6.802,Mid-range,5.39,Medium
Philosophies of India ; edited by Joseph Campbell,3.6,702,687,Religion,2029,2.953,Mid-range,5.01,Medium
History of Buddhism in India and Tibet,4.6,1114,235,Religion,2263,9.63,Premium,5.69,High
Shakuntala and other stories from ancient India,4.8,1347,166,Fiction,2212,13.325,Premium,5.82,High
Muslim portraits,3.9,616,142,Classic,1393,9.81,Mid-range,5.07,Medium
Dictionary of land revenue terms in India,4.8,1015,240,Biography,1729,7.204,Premium,5.73,High
The yellow book,3.8,329,184,Philosophy,235,1.277,Budget,4.38,Low
Snagged,4.9,968,253,Fiction,1136,4.49,Premium,5.65,High
Sacred River,3.2,1237,35,Fiction,279,7.971,Premium,4.05,Low
Hand book of criminal laws in India and Pakistan...,4.4,1307,239,History,953,3.987,Premium,5.26,Medium
Mathematical Induction and Functions,4.0,858,88,Religion,594,6.75,Mid-range,4.84,Medium
FACE PAINTING Activity Book,3.8,133,312,Self-Help,1584,5.077,Budget,5.05,Medium
Michelle Sold Zero Books,4.3,395,178,Biography,1830,10.281,Budget,5.42,Medium
The police hand-book,4.4,552,738,History,304,0.412,Mid-range,4.86,Medium
The goddess and the nation,3.0,1250,379,Biography,1974,5.208,Premium,4.61,Low
A hand book on medical examination,3.3,241,111,Politics,2439,21.973,Budget,4.87,Medium
From here to nirvana,4.4,747,399,Science,89,0.223,Mid-range,4.43,Low
Ancient North-East India,4.3,227,130,History,398,3.062,Budget,4.89,Medium
"Descriptive Catalogue of the Chinese, Japanese, and Manchu Books",4.9,934,895,Classic,1322,1.477,Premium,5.7,High
Reverie and reality,4.5,1024,188,Science,2369,12.601,Premium,5.64,High
A complex study of ancient India,4.9,829,339,Politics,274,0.808,Mid-range,5.15,Medium
Holding India to the Empire,4.4,1473,220,Biography,1727,7.85,Premium,5.47,Medium
Police and politics in India,3.6,562,619,Politics,711,1.149,Mid-range,4.64,Low
Limca book of records,3.2,1367,279,Fiction,1307,4.685,Premium,4.59,Low
The law relating to electricity in India,4.6,663,901,History,853,0.947,Mid-range,5.35,Medium
Chains of Servitude ; Bondage and Slavery in India,4.3,1309,377,Religion,2491,6.607,Premium,5.53,High
4 Noble Truths Explained : Book 1 of 8,3.1,1356,287,Religion,2280,7.944,Premium,4.72,Low
Small scale industries in India,3.7,613,133,Poetry,2055,15.451,Mid-range,5.07,Medium
"Art of China, Japan and India",4.9,100,48,History,1987,41.396,Budget,5.84,High
Tell Me a Story,4.0,1362,210,Fiction,119,0.567,Premium,4.28,Low
The East India Company,3.9,1178,282,Science,1872,6.638,Premium,5.17,Medium
The Berar revenue manual,3.9,437,483,History,2375,4.917,Mid-range,5.26,Medium
Wildlife diseases in India,3.0,1007,183,Biography,1,0.005,Premium,2.19,Low
The world of India,3.4,917,96,Philosophy,1591,16.573,Premium,4.79,Low
"Central excise manual, amended upto June 1974",3.7,1400,1208,Biography,131,0.108,Premium,4.11,Low
The Indian forest act (XVI of 1927) with state laws,3.7,1133,470,Politics,202,0.43,Premium,4.26,Low
"Punjab civil servants (efficiency & discipline) rules, 1975",3.1,1464,118,History,184,1.559,Premium,3.84,Low
Honouring the Loss,4.5,1227,231,History,2157,9.338,Premium,5.61,High
"Commentaries on Factories act, 1948",3.8,444,892,Politics,2043,2.29,Mid-range,5.14,Medium
The law of elections and election petitions in India,5.0,1493,671,Philosophy,1,0.001,Premium,3.49,Low
The Rajasthan panchayat code,4.6,1076,133,Philosophy,474,3.564,Premium,5.15,Medium
"year book of missions in India, Burma and Ceylon",4.7,982,780,Poetry,2305,2.955,Premium,5.77,High
India's Sticker Collection,3.4,297,199,Poetry,2042,10.261,Budget,4.88,Medium
The international cookery book for India,4.3,1137,189,Philosophy,746,3.947,Premium,5.11,Medium
Passage Through India,3.9,971,136,Fiction,2125,15.625,Premium,5.22,Medium
A Winter in India,4.8,1461,217,Poetry,561,2.585,Premium,5.34,Medium
"The Employees' provident funds and family pension fund act, 1952 (act 19 of 1952) with the Employees' provident funds scheme, 1952, and short notes",3.4,641,163,Philosophy,1957,12.006,Mid-range,4.86,Medium
India (Countries & Cultures),4.4,556,44,Fiction,1041,23.659,Mid-range,5.29,Medium
Inside India,4.2,849,160,Philosophy,2469,15.431,Mid-range,5.46,Medium
Manual of control orders,3.6,465,704,History,861,1.223,Mid-range,4.71,Low
Exciting India,3.3,500,96,Poetry,1722,17.938,Mid-range,4.75,Low
